                                     Mean          SD
b.X2.15                     0.0009629419   0.0009622904
b.X2.16                     0.0009449241   0.0008648720
b.X2.17                     0.0009952612   0.0009649930
b.X2.18                     0.0010515879   0.0010518320
b.X2.19                     0.0009387733   0.0009387878
b.X2.2                      0.0009314694   0.0009316559
b.X2.20                     0.0009110789   0.0009148657
b.X2.3                      0.0009417998   0.0009407000
b.X2.4                      0.0009329139   0.0009326391
b.X2.5                      0.0009100797   0.0008363367
b.X2.6                      0.0009838674   0.0008740501
b.X2.7                      0.0009167763   0.0009164140
b.X2.8                      0.0008928712   0.0008496098
b.X2.9                      0.0009717300   0.0009705548
VCV.(Intercept).(Intercept) 0.0059368854   0.0063772506
VCV.X1.(Intercept)          0.0026222390   0.0027884072
VCV.X2.(Intercept)          0.0013810144   0.0013806111
VCV.(Intercept).X1          0.0026222390   0.0027884072
VCV.X1.X1                   0.0022066377   0.0023564417
VCV.X2.X1                   0.0008596366   0.0008116086
VCV.(Intercept).X2          0.0013810144   0.0013806111
VCV.X1.X2                   0.0008596366   0.0008116086
VCV.X2.X2                   0.0006539709   0.0006541315
sigma2                      0.0002728830   0.0002959918
Deviance                    0.2512527036   0.2669546176
